半金比率,ドーピング濃度,予測_抵抗減少量
80,3.500000000000002,0.09316350400000001
81,3.500000000000002,0.09316350400000001
82,3.500000000000002,0.09316350400000001
83,3.500000000000002,0.09316350400000001
84,3.500000000000002,0.09316350400000001
85,3.500000000000002,0.09316350400000001
86,3.500000000000002,0.09316350400000001
87,3.500000000000002,0.09316350400000001
88,3.500000000000002,0.09316350400000001
89,3.500000000000002,0.09316350400000001
90,3.500000000000002,0.09316350400000001
91,3.500000000000002,0.09316350400000001
92,3.500000000000002,0.09316350400000001
93,3.500000000000002,0.05128194
94,3.500000000000002,0.05128194
95,3.500000000000002,0.05128194
96,3.500000000000002,0.05128194
97,3.500000000000002,0.05128194
98,3.500000000000002,0.0233146252
99,3.500000000000002,0.0233146252
100,3.500000000000002,0.0233146252
80,3.6000000000000023,0.09316350400000001
81,3.6000000000000023,0.09316350400000001
82,3.6000000000000023,0.09316350400000001
83,3.6000000000000023,0.09316350400000001
84,3.6000000000000023,0.09316350400000001
85,3.6000000000000023,0.09316350400000001
86,3.6000000000000023,0.09316350400000001
87,3.6000000000000023,0.09316350400000001
88,3.6000000000000023,0.09316350400000001
89,3.6000000000000023,0.09316350400000001
90,3.6000000000000023,0.09316350400000001
91,3.6000000000000023,0.09316350400000001
92,3.6000000000000023,0.09316350400000001
93,3.6000000000000023,0.05128194
94,3.6000000000000023,0.05128194
95,3.6000000000000023,0.05128194
96,3.6000000000000023,0.05128194
97,3.6000000000000023,0.05128194
98,3.6000000000000023,0.0233146252
99,3.6000000000000023,0.0233146252
100,3.6000000000000023,0.0233146252
80,3.7000000000000024,0.09316350400000001
81,3.7000000000000024,0.09316350400000001
82,3.7000000000000024,0.09316350400000001
83,3.7000000000000024,0.09316350400000001
84,3.7000000000000024,0.09316350400000001
85,3.7000000000000024,0.09316350400000001
86,3.7000000000000024,0.09316350400000001
87,3.7000000000000024,0.09316350400000001
88,3.7000000000000024,0.09316350400000001
89,3.7000000000000024,0.09316350400000001
90,3.7000000000000024,0.09316350400000001
91,3.7000000000000024,0.09316350400000001
92,3.7000000000000024,0.09316350400000001
93,3.7000000000000024,0.05128194
